你的联系电话,联系电话
你电话多少,你电话多少
给我你的电话号码,给我你的电话号码
你有宗教信仰么,你有宗教信仰吗
你信什么,你姓什么
你的宗教是啥,你的宗教是啥
你家几个人,你家几个人
你是独生子女么,你是独生子女吗
你家就你一个么,你家就你一个吗
谁是你爸,日你妈
叫我爸爸,叫我爸爸
你爸是谁,你爸是谁
你妈妈是谁,你妈妈是谁
谁是你妈,谁是你妈
叫我妈妈,叫我妈妈
你有兄弟姐妹么,你有兄弟姐妹吗
你哥们是谁,你哥们是谁
谁是你姐们儿,谁是你姐们儿
你有子女么,你有子女吗
你孩子多大,你孩子多大
你生孩子了么,你生孩子了吗
你有朋友么,你有朋友吗
你的朋友有哪些,你的朋友有哪些
谁是你的朋友,谁是你的朋友
你有女朋友么,你有女朋友吗
你有女票么,你有女票吗
你还没女朋友啊,你还没男朋友啊
你做我女朋友吧,你做我女朋友吧
我想做你的男朋友,我想做你的男朋友
你缺我这样的男朋友么,你需要我这样的男朋友吗
你有男朋友么,你有男朋友有吗
你有男票么,你有男票吗
你还没男朋友啊,你还没男朋友啊
你做我男朋友吧,你做我男朋友吧
我要转人工,我要转人工
这个活动在哪里报名参加,活动在哪里报名参加
多长时间一趟班车,多长时间一趟班车
一台车可免费停几个小时,一台车可免费停几个小时
你们招商电话是多少?,你们招商电话是多少
官方微信,官方微信
今天的天气,今天的天气
广州的天气,广州的天气
大海为什么是蓝色,大海为什么是蓝色
我东西找不到了,我东西找不到了
哈喽,
嗨,
你好啊,你好啊
你好,你好
你会干什么,你会干什么
你会干嘛,你会干嘛
你会什么,你会什么
你叫啥,
你是谁,你是谁
再见,
丢东西了,丢东西了
拜拜,
在吗,在吗
在不在,
广汽怎么走,广汽怎么走
唱歌,我饿了
谢谢,谢谢
谢了,谢了
你真笨,你真笨
笨蛋,
现在几点,现在几点
牛顿是谁,牛顿是谁
世界最高的山是什么,世界上最高的山是什么
最大的海是那个,海是哪个
最大的国家是那个,面积最大的
中国有多大,国家是哪个
中国是哪一年成立的,中国是哪1年成立的
世界有几个大洲,世界有几个大洲
世界上有多少国家,世界上有多少
最长的河流是什么,最长的河流是
爱因斯坦是谁,这什么
我的小孩不见了,我的小孩不见了
门口有车挡路了,欧有车挡路了
能不能帮我广播一下,能不能帮我广播一下
能不能查一下监控,能不能查一下监控
最近商场有哪些活动,哪些活动
我想做你女朋友,我想做你女朋友
你缺我这样的女朋友么,你缺我这样的女朋友吗
你是单身狗么,是单身狗么
你结婚了么,你结婚了吗
你有对象么,你有对象吗
你是我的什么,你是我的什么
你是我的谁,你是我的谁
你算我的什么,你让我的什么
我是你的谁,我是你的谁
我算你什么人,我算你什么人
我是你的什么,我是你的什么
你觉得华为怎么样,你觉得华为怎么样
今天是什么日子,这是什么日子啊
最近的电影院在哪里,最近的电影院在哪里
打开扫一扫,打开扫一扫
日币是多少台币,B是多少台币
现在几点了,现在几点了
明天中午北京到上海的航班,明天中午北京到上海的航班
找夜上海的酒店,找夜上海的酒店
讲个笑话给我听,讲个笑话给我听
七星彩,七星彩
科比,关闭
医院,医院
餐厅,暂停
到大连金州坐火车需要多少个小时,到大连金州坐火车
西瓜的英语,的英语
乡村爱情,乡村爱情
今天会下雨吗,今天会下雨
帮我唱首歌吧,帮我唱首歌吧
帮我放一首歌,帮我放一首歌吧
播放一首歌,播放一首歌
唱个歌,唱个歌
唱首歌,唱首歌
唱首歌吧,唱首歌吧
唱首歌呗,唱首歌呗
唱首歌给我听吧,唱首歌给我听吧
唱首歌来听吧,唱首歌来听吧
唱首歌来听听,唱首歌来听听
唱一首歌吧,一首歌吧
我要去超市,我要去超市
超市在哪里,超市在哪里
超市在什么地方,超市在什么地方
车次表,车次表
车库在哪里,车不在哪里
车停在哪里,你在哪里
大家好,大家好
大门在哪里,大门在哪里
地下停车场,地下停车场
电影,电影
儿童乐园,儿童乐园
儿童乐园在哪里,儿童乐园在哪里
儿童玩具,做玩具
放首音乐,放首音乐
放一首歌给我听,放一首歌给我听
给你唱歌,给你唱歌
给我唱首歌,给我唱首歌
给我唱一首儿歌,给我唱一首儿歌
给我唱一首歌,给我唱一首歌
给我讲个笑话,给我讲个笑话
给爷唱首歌,给爷唱首歌
广场在哪里,广场在哪里
华润万家在哪,华润万家在哪
滑滑梯在哪里,滑滑梯在哪里
讲个笑,讲个笑
讲很多笑话吧,讲很多笑话吧
讲一个笑话,讲一个笑话
叫什么名字,叫什么名字
今天天气怎么样,今天天气怎么样
看电影,看电影
李白的诗,李白的诗